1,20480.912503
1,20441.118473
1,20528.358487
2,34863.559720
2,34621.315974
2,34953.051252
4,73743.728564
4,72922.502518
4,73156.388081
8,119059.995662
8,118893.778032
8,118891.391321
16,176286.511972
16,176838.572478
16,176905.986883
32,185482.826605
32,188527.134906
32,188664.938213
64,222036.527020
64,219481.469228
64,219220.594100
128,212528.625784
128,210992.562418
128,203319.170481
256,199431.930015
256,201177.744760
256,199355.546315
512,199257.558086
512,198827.384313
512,205952.414683
1024,201142.514546
1024,202322.206678
1024,197502.593312
2048,197235.063856
2048,197965.487046
2048,197525.574438
4096,200822.516421
4096,198564.614274
4096,202459.023324
8192,197660.031486
8192,193740.663779
8192,192662.806676
16384,197316.499143
16384,200088.878131
16384,200830.803124
